Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,Month
2017-12-01 00:00:00,19.07,55.77,0.086,0.048,0.1,27680.60837,22560.29457,11887.63505,12
2017-12-01 00:10:00,18.99,56.7,0.08,0.066,0.093,27011.40684,22133.16968,11680.19208,12
2017-12-01 00:20:00,18.88,58.11,0.078,0.07,0.104,26445.62738,21488.80025,11461.22449,12
2017-12-01 00:30:00,18.78,58.98,0.08,0.04,0.1,25885.93156,20715.55692,11236.4946,12
2017-12-01 00:40:00,18.77,59.98,0.078,0.044,0.093,25277.56654,20229.51826,11040.57623,12
2017-12-01 00:50:00,18.65,60.51,0.08,0.029,0.093,24876.04563,19772.93648,10838.89556,12
2017-12-01 01:00:00,18.71,60.94,0.078,0.073,0.141,24419.77186,19378.9506,10614.16567,12
2017-12-01 01:10:00,18.83,61.58,0.077,0.051,0.082,24225.09506,19102.79227,10585.35414,12
2017-12-01 01:20:00,18.7,63.71,0.081,0.066,0.13,23641.06464,18565.20405,10377.91116,12
2017-12-01 01:30:00,18.53,65.12,0.077,0.07,0.145,23269.96198,18443.69438,10251.14046,12
2017-12-01 01:40:00,18.43,66.19,0.078,0.026,0.159,22917.11027,18027.61583,10089.79592,12
2017-12-01 01:50:00,18.31,66.72,0.078,0.044,0.167,22564.25856,17688.86161,10032.17287,12
2017-12-01 02:00:00,18.38,66.38,0.08,0.059,0.145,22406.08365,17416.38539,9939.97599,12
2017-12-01 02:10:00,18.41,65.31,0.078,0.044,0.185,22369.58175,17346.42528,9836.254502,12
2017-12-01 02:20:00,18.41,64.68,0.081,0.051,0.145,22247.90875,16992.94262,9772.869148,12
2017-12-01 02:30:00,18.27,64.84,0.078,0.048,0.137,22028.89734,16794.10862,9657.623049,12
2017-12-01 02:40:00,18.23,64.52,0.079,0.051,0.119,21882.88973,16573.18196,9623.04922,12
